ID,Zloss,Zgain,Zlessivage,I/E Ratio,Criteria,Soil Order,Suborder,Great Group,Subgroup,Deposit Material ,Drainage Class,Depth to Gleying ,Distance to RSF,E_Sand,E_Silt,E_Clay,I_Sand,I_Silt,I_Clay,E_Porosity,I_Porosity,E_pHw,I_pHw,E_OC,I_OC,E_EA,I_EA,E_TEB,I_TEB,E_CEC,I_CEC,E_BS,I_BS,E_MONOVALENT,E_DIVALENT,I_MONOVALENT,I_DIVALENT,E_SM,E_MI,E_HV,E_KA,E_GI,E_QZ,I_SM,I_MI,I_HV,I_KA,I_GI,I_QZ,E_DOMMIN,I_DOMMIN
S46_006,76,127,76,2.025228253,one,ults,ud,Kanhapl,Typic,Decomposition Residuum,WD,250,9571.86,79.76,10.48,9.77,71.77,8.45,19.78,0.41,0.39,5.59,5.4,0.4,0.1,9.77,3.63,0.59,0.54,4.53,4.16,0.11,0.13,0.09,0.5,0.04,0.5,5,0,31,12,47,7,0,0,19,11,65,5,GI,GI
S57_034,74,129,74,2.274876249,one,ults,ud,Kandi,Typic,Decomposition Residuum,WD,250,19773.21,78.87,9.85,11.22,68.75,5.73,25.52,0.39,0.36,5.13,4.85,0.37,0.06,11.22,4.55,1,0.78,4.75,5.33,0.18,0.14,0.07,0.93,0,0.78,0,0,41,14,33,12,0,0,29,18,48,5,HV,GI
S57_039,66,137,66,2.561049241,one,ults,ud,Kandi,Arenic,Decomposition Residuum,WD,150,240.23,79.07,13.39,7.54,70.99,9.7,19.31,0.43,0.35,5.54,5.52,0.62,0.1,7.54,3.86,0.31,0.31,4.63,4.17,0.07,0.07,0.04,0.27,0.04,0.27,0,0,46,11,27,16,0,0,34,18,44,4,HV,GI
S66_004,112,91,112,2.72442738,one,ults,ud,Pale,Grossarenic,Decomposition Residuum,WD,183,16268.01,84.46,10.35,5.19,81.55,4.32,14.13,0.38,0.36,5.25,5.11,0.37,0.09,5.19,2.14,0.38,0.38,2.67,2.52,0.13,0.16,0.02,0.36,0.03,0.35,0,0,50,12,17,21,0,0,37,11,43,9,HV,MIXED
S46_007,13,190,13,2.140463546,one,ults,ud,Kandi,Typic,Decomposition Residuum,WD,250,12666.83,74.5,14.6,10.9,64.87,11.8,23.33,0.43,0.37,5.3,5.16,1.14,0.11,10.9,4.37,1.42,0.65,9.21,5.01,0.15,0.13,0.24,1.18,0.04,0.6,0,0,38,15,42,5,0,0,28,16,55,2,MIXED,GI
S46_009,122,81,122,4.705350938,one,ults,ud,Kandi,Grossarenic,Decomposition Residuum,WD,250,7694.85,86.33,8.95,4.72,70.6,7.2,22.2,0.38,0.37,5.84,5.5,0.18,0.12,4.72,3.42,0.72,0.73,2.65,4.15,0.29,0.18,0.09,0.63,0.11,0.62,0,0,38,14,39,9,0,0,24,16,56,4,MIXED,GI
S46_008,25,178,25,1.517992261,two,ults,ud,Pale,Plinthic,Decomposition Residuum,WD,109,9423.85,57.72,25.5,16.78,55.33,19.19,25.47,0.43,0.38,4.82,5.28,1.68,0.12,16.78,4.61,0.42,0.28,14.55,4.88,0.03,0.06,0.11,0.31,0.05,0.22,0,0,40,14,40,6,0,0,21,20,57,3,MIXED,GI
S01_079,112,104,112,13.0792193,one,ods,aqu,Al,Ultic,Decomposition Residuum,PD,30,6274.11,95.83,3.33,0.84,85.82,3.23,10.95,0.41,0.37,5.84,4.87,0.28,0.21,0.84,7.29,0.13,0.14,3.92,7.42,0.06,0.02,0.02,0.11,0.06,0.08,0,0,0,5,0,95,0,0,14,16,62,8,QZ,GI
S03_001,130,10,130,5.799256512,one,ods,orth,Al,Aquic,Marine Deposits,SPD,86,1223.23,93.5,5.25,1.24,87.3,5.5,7.2,0.42,0.4,5.54,4.9,0.25,0.63,1.24,7.86,0.09,0.04,1.63,7.9,0.07,0.01,0.03,0.06,0.02,0.02,0,0,72,0,0,28,0,0,61,23,0,16,HV,HV
S03_017,152,51,152,5.410992277,one,ults,ud,Pale,Grossarenic,Marine Deposits,MWD,160,1011.12,89.95,6.58,3.47,76.26,4.95,18.8,0.42,0.38,5.54,6.56,0.28,0.26,3.47,5.87,0.23,0.44,1.99,6.3,0.14,0.07,0.03,0.2,0.04,0.4,0,0,60,24,0,16,9,0,48,35,0,8,HV,HV
