ID,Zloss,Zgain,Zlessivage,I/E Ratio,Criteria,Soil Order,Suborder,Great Group,Subgroup,Deposit Material ,Drainage Class,Depth to Gleying ,Distance to RSF,E_Sand,E_Silt,E_Clay,I_Sand,I_Silt,I_Clay,E_Porosity,I_Porosity,E_pHw,I_pHw,E_pHKCL,I_pHKCL,E_OC,I_OC,E_EA,I_EA,E_TEB,I_TEB,E_CEC,I_CEC,E_BS,I_BS,E_SM,E_MI,E_HV,E_KA,E_GI,E_QZ,I_SM,I_MI,I_HV,I_KA,I_GI,I_QZ,E_DOMMIN,I_DOMMIN
S01_062,41,20,41,6.912790697,one,ods,aqu,Al,Ultic,Marine Deposits,PD,23,8382.758664,94.19512195,5.175609757,0.629268293,81.60161282,3.280645156,15.11774193,0.44902,0.48,5.0049,4.75,3.6,3.85,0.57311,1.875,0.6292,15.75,0.66138,0.325,3.22698,16.075,0.196044,0.0225,0,0,7,5,0,88,0,0,21,21,0,58,QZ,QZ
S01_065,66,163,66,3.430103999,one,ults,ud,Pale,Arenic,Decomposition Residuum,WD,211,1771.3141,88.04545454,5.721212122,6.233333334,72.26993865,6.349079755,21.3809816,0.42564,0.40443,5.6,5.4755,4.4044,4.1282,0.35836,0.09389,6.2344,17.2214,2.36844,7.34205,7.76224,24.56345,0.303264,0.300996,0,0,22,10,0,68,0,0,0,0,0,95,QZ,QZ
S01_066,124,94,124,7.293137634,one,ults,ud,Pale,Grossarenic,Decomposition Residuum,WD,183,1738.63716,92.28467751,4.52258065,3.192741939,71.52978723,5.185106383,23.28510639,0.41411,0.38674,5.7596,5.2819,4.5805,3.9184,0.19084,0.0693,3.1928,14.85046,0.73729,3.66788,3.46866,18.51834,0.194695,0.219826,0,0,35,16,0,49,0,0,35,34,0,32,QZ,MIXED
S01_067,74,139,74,8.670696629,one,ults,ud,Pale,Arenic,Decomposition Residuum,MWD,89,288.3904752,92.52027027,4.417567568,3.062162162,71.06834532,2.380575539,26.55107914,0.39622,0.34512,5.8067,5.3415,4.6067,3.8301,0.30751,0.06831,3.0622,9.79422,0.76483,2.55666,4.29242,12.35088,0.187316,0.207327,0,0,23,31,0,46,0,0,7,77,0,17,QZ,KA
S01_069,46,7,46,5.007594943,one,ods,aqu,Al,Ultic,Decomposition Residuum,PD,25,6722.032353,94.85217382,4.28913043,0.858695651,68.96989247,4.370967741,26.65913979,0.44759,0.56,5.6304,4.7,3.7262,3.8,0.38798,1.86,0.8589,22.3,0.14532,0.14,2.09026,22.44,0.071545,0.006,0,0,0,13,0,87,0,0,36,14,0,50,QZ,QZ
S01_070,43,13,43,8.073469387,one,ods,aqu,Al,Ultic,Decomposition Residuum,PD,25,6624.144989,95.33953488,4.090697674,0.569767442,72.79461538,4.018461538,23.18692308,0.41812,0.49,4.8584,4.6,3.2886,3.6,0.64696,2.31,0.5698,20.93,0.5277,0.16,3.48754,21.09,0.132476,0.008,0,0,20,7,0,73,0,0,20,27,0,53,QZ,QZ
S01_071,53,150,53,3.368444441,one,ults,aqu,Pale,Arenic,Decomposition Residuum,PD,20,9219.295417,90.95283028,3.952830193,5.094339627,77.78933334,5.050666666,17.16,0.36057,0.36754,5.8375,4.8719,4.5921,4.0373,0.32419,0.11408,5.094,14.17999,0.96463,1.31388,5.22985,15.49387,0.15944,0.077583,0,0,45,15,0,40,0,0,20,47,0,34,MIXED,KA
S01_072,74,28,74,5.61750154,one,ods,aqu,Al,Ultic,Marine Deposits,PD,28,3582.768028,96.95135145,2.424324327,0.624324325,83.61710526,7.485526316,8.897368421,0.40406,0.38144,6.2643,4.7392,5.1037,3.6928,0.35598,1.33736,0.625,15.43728,0.68944,0.39728,1.44866,15.83456,0.463346,0.024472,0,0,13,9,0,78,0,0,0,0,0,95,QZ,QZ
S01_073,18,190,18,8.777192983,one,ults,ud,Pale,Psammentic,Decomposition Residuum,WD,250,1422.504909,87.3,11.8,0.9,87.69210526,4.408421052,7.899473685,0.44,0.44755,6.1,5.8727,5.1,4.4497,1.17,0.12459,0.9,4.0307,3.59,1.61345,8.81,5.64415,0.407,0.287096,0,0,70,0,0,30,0,0,24,40,0,37,HV,KA
S01_075,74,10,74,14.0462963,one,alfs,ud,Hapl,Arenic,Decomposition Residuum,WD,250,2723.758969,93.82972973,4.710810811,1.459459459,72.9,6.6,20.5,0.44648,0.36,6.4961,6.7,5.7165,5.5,0.30619,0.29,1.4586,2.78,1.19718,9,2.71183,11.78,0.558122,0.764,0,0,82,0,0,18,0,0,44,66,0,0,HV,KA
S01_077,18,193,18,19.63615429,one,alfs,ud,Pale,Aquic,Decomposition Residuum,SPD,53,5984.555576,93.7,5.4,0.9,71.91606218,10.41139896,17.67253886,0.43,0.40451,6.2,5.551,5.5,4.198,0.71,0.10815,0.9,12.40945,3.2,7.53702,5.81,19.94647,0.551,0.389338,0,0,49,9,0,42,93,0,0,2,0,5,MIXED,SM
S01_078,142,66,142,16.00715657,one,ods,orth,Al,Aquic,Marine Deposits,SPD,51,8962.220377,95.13802826,3.818309863,1.043661973,79.97272727,3.321212121,16.70606061,0.41154,0.35212,5.5724,5.1485,4.3995,3.9575,0.22426,0.05727,1.0425,3.91034,2.97006,0.23217,6.88488,4.14251,0.081838,0.055789,0,0,12,7,0,81,0,0,10,20,19,51,QZ,QZ
S01_079,112,104,112,13.0792193,one,ods,aqu,Al,Ultic,Decomposition Residuum,PD,30,6274.105926,95.83303572,3.329464285,0.8375,85.81538461,3.230769231,10.95384616,0.41168,0.3671,5.8389,4.8655,4.1662,4.2385,0.2835,0.20775,0.8401,7.28525,0.13064,0.1357,3.92105,7.42095,0.060996,0.0197,0,0,0,5,0,95,0,0,14,16,62,8,QZ,GI
S01_080,36,10,36,6.033519559,one,ods,aqu,Al,Ultic,Marine Deposits,PD,20,8014.425244,93.72222213,5.283333328,0.994444444,78.41549296,3.806338027,17.77816902,0.4096,0.44,4.5704,4.4,3.4271,3.7,0.8514,2.45,0.9935,21.81,0.35499,0.23,7.22589,22.04,0.045814,0.01,0,0,5,7,0,88,0,0,9,5,0,86,QZ,QZ
S01_081,122,117,122,4.811653349,one,ods,aqu,Al,Ultic,Marine Deposits,VPD,0,8831.094993,88.46885246,8.419672126,2.914754099,81.12136753,4.853846153,14.02478632,0.4556,0.37591,4.2066,4.7113,3.5541,3.8591,2.01298,0.39941,2.9149,7.35561,0.13888,0.13271,13.78024,7.48832,0.009293,0.017367,0,0,5,2,0,94,0,0,25,23,0,53,QZ,QZ
S01_082,71,132,71,33.13333333,one,ults,aqu,Pale,Arenic,Marine Deposits,VPD,0,6902.560584,96.32816901,2.925352112,0.746478873,70.22727273,5.039393941,24.73333333,0.5091,0.34223,4.2255,4.0212,3.6325,2.9834,4.6596,0.20403,0.7465,9.54577,0.34355,1.59188,32.2359,11.13765,0.03976,0.150706,0,0,12,5,0,83,35,0,0,53,0,12,QZ,KA
S01_083,66,71,66,3.832318877,one,ults,aqu,Endo,Arenic,Decomposition Residuum,PD,20,11553.11093,90.96515152,5.801515152,3.137878788,81.42394366,6.550704225,12.02535211,0.39438,0.37447,5.2851,4.6695,4.5016,3.9082,0.5701,0.09629,3.1378,8.65958,1.0056,0.81719,6.10473,9.47677,0.127762,0.08685,0,0,20,5,0,75,0,0,32,27,0,42,QZ,MIXED
S01_084,109,102,109,11.97769553,one,ults,ud,Pale,Grossarenic,Decomposition Residuum,WD,175,7370.874087,93.00825697,5.737614684,1.254128441,76.52156863,8.456862746,15.02156863,0.40791,0.38196,5.6703,5.0059,4.3282,3.6,0.17143,0.03686,1.2541,5.02218,0.33853,0.86681,2.29202,5.88899,0.132286,0.14405,0,0,30,25,0,45,0,0,17,84,0,0,QZ,KA
