ID,TOP_DEP,BOTT_DEP,CRITERIA,ZONE,UI,DISCONT,TOT_SAND,navy,olivedrab,yellow,orange,red,,navy,olivedrab,yellow,orange,red
S01_048,0,25,one,loss,0,no,94.8,0.11,5.49,35.44,53.59,5.38,,0.1,5.2,33.6,50.8,5.1
S01_048,25,58,one,loss,0.04,no,94.4,0.11,4.87,33.26,56.25,5.51,,0.1,4.6,31.4,53.1,5.2
S01_048,58,102,one,loss,0.01,no,94.3,0.21,4.88,32.98,56.63,5.30,,0.2,4.6,31.1,53.4,5
S01_048,102,135,one,loss,0.06,no,94.7,0.21,4.65,32.00,57.55,5.60,,0.2,4.4,30.3,54.5,5.3
S01_048,135,163,one,loss,0.04,no,93.9,0.21,4.90,30.56,58.68,5.64,,0.2,4.6,28.7,55.1,5.3
S01_048,163,213,one,top,0.11,no,89.6,0.22,5.36,29.58,58.04,6.81,,0.2,4.8,26.5,52,6.1
S01_048,213,241,one,gain,0.05,no,89.6,0.11,5.47,32.25,55.69,6.47,,0.1,4.9,28.9,49.9,5.8
S01_048,241,254,one,gain,0.15,no,84.9,0.12,5.54,31.92,55.71,6.71,,0.1,4.7,27.1,47.3,5.7
S01_058,0,8,one,loss,0,no,91.2,0.00,1.32,19.41,54.61,24.67,,0,1.2,17.7,49.8,22.5
S01_058,8,25,one,loss,0.13,no,92,0.00,1.41,20.76,54.78,23.04,,0,1.3,19.1,50.4,21.2
S01_058,25,56,one,loss,0.15,no,92.1,0.00,1.19,16.18,56.68,25.95,,0,1.1,14.9,52.2,23.9
S01_058,56,76,one,loss,0.08,no,91.9,0.00,1.63,16.00,58.32,24.05,,0,1.5,14.7,53.6,22.1
S01_058,76,112,one,loss,0.05,no,91.5,0.00,1.64,16.50,56.94,24.92,,0,1.5,15.1,52.1,22.8
S01_058,112,127,one,top,0.05,no,77,0.00,1.43,18.70,55.71,24.16,,0,1.1,14.4,42.9,18.6
S01_058,127,152,one,gain,0.29,no,69.9,0.00,1.57,23.61,55.94,18.88,,0,1.1,16.5,39.1,13.2
S01_058,152,175,one,gain,0.08,no,69,0.00,1.45,24.20,57.68,16.67,,0,1,16.7,39.8,11.5
